FY,Month (abbv),Component,Region,Land Filter,Branch,Drug Type,Count of Event,Sum Qty (lbs)
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,7,0.68
2024,JUN,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,3,0.1
2024,JUN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.22
2024,JUN,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,0.37
2024,JUN,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,0.01
2024,JUN,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,2.34
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,0.9300000000000002
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,0.5
2024,JUN,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.07
2024,JUN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,1,0.01
2024,JUN,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,2,29.98
2024,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,5.51
2024,JUN,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Methamphetamine,1,2.2
2024,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,5,96.31000000000002
2024,JUN,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,41.67
2024,JUN,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,1.93
2024,JUN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,1.19
2024,JUN,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,9,410.66
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,5224.9
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.0
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,14812.71
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Houston,Cocaine,4,16751.66
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,3,9446.27
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,0.24
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,2,0.19
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Heroin,1,0.62
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,2,0.6100000000000001
2024,MAR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,0.31
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.32
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,12,6.069999999999999
2024,MAR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,4,74.14
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,2.89
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,4,0.34
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,2,0.0
2024,MAR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,0.95
2024,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,0.13
2024,MAR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,0.71
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,2,72.88
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,3,12.61
2024,MAR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,1,0.2
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,2,1.28
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,1,0.06
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Marijuana,4,0.52
2024,MAR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,4,1.95
2024,MAR,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,0.0
2024,MAR,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,3,4293.17
2024,MAR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.31
2024,MAR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,0.12
2024,MAR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,1,2233.26
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,2,85.98
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,2.2
2024,MAR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,5,25.3
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,2,2031.9
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,1,2592.61
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,13.45
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,2,6827.650000000001
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Marijuana,1,74.96
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,1,6444.93
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,2.01
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.06
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,3.4
2024,MAY,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,2.09
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,2,3.3100000000000005
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,6,34.43
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,0.01
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Marijuana,3,0.79
2024,MAY,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,5,222.44
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,5,24.86
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,2,0.51
2024,MAY,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Methamphetamine,3,10.21
2024,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,1,2.2
2024,MAY,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,1,6.5
2024,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,8,76.51
2024,MAY,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,0.04
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,3,14.510000000000002
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,3.83
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Heroin,1,0.06
2024,MAY,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,6.72
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,3,11.17
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Heroin,1,0.02
2024,MAY,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.69
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.04
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Marijuana,1,0.04
2024,MAY,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Marijuana,1,11287.55
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,0.01
2024,MAY,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,4.25
2024,MAY,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,1.85
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.56
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Marijuana,1,1.11
2024,MAY,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,3.1500000000000004
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,22.05
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,4,875.26
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.31
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,2,27.98
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,1,2.2
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,3,11276.53
2024,NOV,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,8741.24
2024,NOV,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,1,533.71
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,4,0.14
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.0
2024,NOV,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,7,0.89
2024,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Heroin,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,0.19
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,0.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,1,0.01
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,11.02
2024,NOV,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,0.23
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,5,26.98
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,0.06
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,1,3.0
2024,NOV,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Methamphetamine,3,5.04
2024,NOV,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,0.06
2024,NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,19.84
2024,NOV,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Fentanyl,1,0.17
2024,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,1,0.13
2024,NOV,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,1,22.05
2024,NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,57.69
2024,NOV,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,199.17
2024,NOV,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.2
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,176.37
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,1.26
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,14,4984.38
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.52
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,7,25.68
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,3.69
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,4.4
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,1851.86
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,5,11344.87
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,2,213.05
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.25
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.13
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,16.01
2024,OCT,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,1,1.04
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,1,0.13
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,4.14
2024,OCT,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,1,1.5
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.13
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,42.32
2024,OCT,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Marijuana,1,0.01
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Cocaine,1,0.08
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Fentanyl,1,0.35
2024,OCT,Air and Marine Operations,Northern Border,Land,Manassas Air Branch,Methamphetamine,1,0.5
2024,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,6,45.02
2024,OCT,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,1,0.0
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.0
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,6,115.85
2024,OCT,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Marijuana,4,3.21
2024,OCT,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,5,2.41
2024,OCT,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,7,41.67
2024,OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,1,15.43
2024,OCT,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Fentanyl,1,0.31
2024,OCT,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Cocaine,2,1.2400000000000002
2024,OCT,Air and Marine Operations,Southwest Border,Land,NASOC - Sierra Vista,Cocaine,1,0.02
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,1,0.0
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,2,11.46
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Heroin,1,2.2
2024,OCT,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,3,0.01
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,5,4740.99
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Marijuana,1,0.02
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,0.0
2024,SEP,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.0
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Cocaine,3,0.01
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,8,4.5
2024,SEP,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,10,9.85
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,1.49
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,2,0.58
2024,SEP,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Heroin,1,0.22
2024,SEP,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Fentanyl,5,0.15
2024,SEP,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,0.01
2024,SEP,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,5,0.64
2024,SEP,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Fentanyl,1,1.55
2024,SEP,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Cocaine,1,0.82
2024,SEP,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,5,91.76
2024,SEP,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,1,36.38
2024,SEP,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,2,0.25
2024,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Cocaine,3,0.77
2024,SEP,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,3,42.44
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,2.62
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,1.15
2024,SEP,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,10.8
2022,APR,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,1,2011.92
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,1,11.02
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,2,0.28
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Fentanyl,1,0.05
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,2,2.04
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,2,4.45
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,37.92
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Fentanyl,1,109.57
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Heroin,1,79.37
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Methamphetamine,1,610.01
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,1,1886.7
2022,APR,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Marijuana,2,2202.77
2022,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Albuquerque,Fentanyl,1,0.11
2022,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,630.52
2022,APR,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,2,2160.51
2022,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,2,3774.28
2022,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Fentanyl,1,0.02
2022,APR,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Marijuana,1,0.01
2022,APR,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,2,29.19
2022,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Cocaine,2,0.03
2022,APR,Air and Marine Operations,Northern Border,Land,Great Lakes Air And Marine Branch,Fentanyl,3,5.66
2022,APR,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,5,64.33
2022,APR,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Methamphetamine,1,2.2
2022,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,3,10.43
2022,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,2.36
2022,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Heroin,2,0.23
2022,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Marijuana,1,38.36
2022,APR,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Methamphetamine,5,97.01
2022,APR,Air and Marine Operations,Northern Border,Other,Manassas Air Branch,Cocaine,1,0.06
2022,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Fentanyl,2,0.01
2022,APR,Air and Marine Operations,Southwest Border,Land,Ground Tactical Air Controller,Methamphetamine,1,0.06
2022,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Cocaine,4,172.72
2022,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Marijuana,1,164.65
2022,APR,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,33.07
2022,APR,Air and Marine Operations,Southwest Border,Land,NASOC - San Angelo,Methamphetamine,2,6.720000000000001
2022,APR,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,2,8.56
2022,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,2,1.28
2022,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Heroin,1,0.12
2022,APR,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,2,1.85
2022,APR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Cocaine,2,637.2299999999999
2022,APR,Air and Marine Operations,Southwest Border,Other,NASOC - San Angelo,Marijuana,1,2451.52
2022,APR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Fentanyl,1,17.03
2022,APR,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,11.01
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,AMOC Air And Marine Operations Center,Cocaine,5,6638.93
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,7,84.05
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Fentanyl,1,0.19
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,2,18.25
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,1,0.05
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Marijuana,1,25000.16
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Corpus Christi,Cocaine,1,299.83
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Cocaine,4,10187.45
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,NASOC - Jacksonville,Marijuana,1,530.14
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Cocaine,1,1832.02
2022,AUG,Air and Marine Operations,Coastal/Interior,Other,New Orleans Air And Marine Branch,Methamphetamine,2,11.22
2022,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Fentanyl,6,9.29
2022,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Heroin,1,1.87
2022,AUG,Air and Marine Operations,Northern Border,Land,Bellingham Air Branch,Methamphetamine,3,5.58
2022,AUG,Air and Marine Operations,Northern Border,Land,NASOC - Grand Forks,Marijuana,2,0.04
2022,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Cocaine,1,33.29
2022,AUG,Air and Marine Operations,Northern Border,Other,Great Lakes Air And Marine Branch,Fentanyl,1,4.63
2022,AUG,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Cocaine,6,0.4
2022,AUG,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Heroin,1,0.1
2022,AUG,Air and Marine Operations,Southwest Border,Land,Laredo Air Branch,Marijuana,1,0.04
2022,AUG,Air and Marine Operations,Southwest Border,Land,Mc Allen Air And Marine Branch,Methamphetamine,1,2.34
2022,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Fentanyl,4,25.26
2022,AUG,Air and Marine Operations,Southwest Border,Land,Tucson Air Branch,Methamphetamine,1,7.72
2022,AUG,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Fentanyl,1,1.28
2022,AUG,Air and Marine Operations,Southwest Border,Land,Yuma Air Branch,Methamphetamine,2,65.61
2022,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Cocaine,1,38.58
2022,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Heroin,1,2.34
2022,AUG,Air and Marine Operations,Southwest Border,Other,San Diego Air And Marine Branch,Methamphetamine,2,19.4
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Caribbean Air And Marine Branch,Cocaine,3,1580.93
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Cocaine,3,62.12
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Marijuana,16,49.870000000000005
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Houston Air And Marine Branch,Methamphetamine,5,3.81
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Cocaine,14,281.14
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Fentanyl,3,0.22
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Heroin,2,21.96
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Jacksonville Air And Marine Branch,Methamphetamine,1,0.0
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Mexico City IAC,Cocaine,1,542.43
2022,DEC,Air and Marine Operations,Coastal/Interior,Other,Miami Air And Marine Branch,Cocaine,2,0.4
