,Area of Responsibility,Year,Drug Type,Count of Event,Sum Qty (kg),Sum Qty (lbs),FY,Month (abbv),Component,Region,Land Filter,Month,Date
4933,Wiltshire,2019,Amphetamines,0.0,0.0,0.0,,,,,,,
4934,Dyfed-Powys,2019,Amphetamines,98.0,3.527415999999999,1.6000108862298263,,,,,,,
4935,Gwent,2019,Amphetamines,66.0,10.227003,4.638896045577016,,,,,,,
4936,North Wales,2019,Amphetamines,31.0,0.09298200000000001,0.04217597590514466,,,,,,,
4937,South Wales,2019,Amphetamines,237.0,3.1594094999999984,1.4330857472035992,,,,,,,
4938,British Transport Police,2019,Amphetamines,18.0,0.06000400000000001,0.02721738893777613,,,,,,,
4939,Total police,2019,Amphetamines,3456.0,466.4405694864001,211.5741349921529,,,,,,,
4940,"Border Force 4, 5, 6, 7",2019,Amphetamines,208.0,,,,,,,,,
4941,TOTAL ENGLAND AND WALES 2,2019,Amphetamines,3664.0,,,,,,,,,
4942,Cleveland,2020,Amphetamines,90.0,43.1771459,19.584847229908103,,,,,,,
4943,Durham,2020,Amphetamines,52.0,0.625272,0.2836189456686414,,,,,,,
4944,Northumbria,2020,Amphetamines,313.0,38.04819000000001,17.25838920086002,,,,,,,
4945,Cheshire,2020,Amphetamines,50.0,0.044688,0.020270159936859867,,,,,,,
4946,Cumbria,2020,Amphetamines,44.0,18.786126,8.521253549364516,,,,,,,
4947,Greater Manchester1,2020,Amphetamines,125.0,,,,,,,,,
4948,Lancashire,2020,Amphetamines,95.0,43.104358,19.551831154575392,,,,,,,
4949,Merseyside,2020,Amphetamines,51.0,87.57132457,39.721731894839024,,,,,,,
4950,Humberside,2020,Amphetamines,35.0,10.951842,4.967677876459435,,,,,,,
4951,North Yorkshire,2020,Amphetamines,38.0,13.402119,6.079106149812667,,,,,,,
4952,South Yorkshire,2020,Amphetamines,121.0,1.7492969999999999,0.7934687156970363,,,,,,,
4953,West Yorkshire,2020,Amphetamines,101.0,0.169642,0.07694840834248079,,,,,,,
4954,Derbyshire,2020,Amphetamines,86.0,0.629406,0.28549409875624826,,,,,,,
4955,Leicestershire,2020,Amphetamines,36.0,4.375128,1.9845270386733318,,,,,,,
4956,Lincolnshire1,2020,Amphetamines,41.0,,,,,,,,,
4957,Northamptonshire,2020,Amphetamines,40.0,0.05235,0.02374558880895574,,,,,,,
4958,Nottinghamshire,2020,Amphetamines,49.0,0.659705,0.29923751031923873,,,,,,,
4959,Staffordshire,2020,Amphetamines,47.0,0.145346,0.0659279150148325,,,,,,,
4960,Warwickshire,2020,Amphetamines,10.0,0.00701,0.0031796862951438344,,,,,,,
4961,West Mercia,2020,Amphetamines,49.0,0.46681999999999996,0.21174624198274533,,,,,,,
4962,West Midlands,2020,Amphetamines,36.0,0.052742000000000004,0.023923397229454513,,,,,,,
4963,Bedfordshire,2020,Amphetamines,8.0,1.78339,0.8089330587584256,,,,,,,
4964,Cambridgeshire,2020,Amphetamines,69.0,0.454374,0.20610082463190937,,,,,,,
4965,Essex,2020,Amphetamines,46.0,0.14681499999999997,0.06659424299879343,,,,,,,
4966,Hertfordshire1,2020,Amphetamines,41.0,,,,,,,,,
4967,Norfolk,2020,Amphetamines,83.0,0.742385,0.3367405720713774,,,,,,,
4968,Suffolk,2020,Amphetamines,2.0,0.002,0.0009071858188712795,,,,,,,
4969,"London, City of",2020,Amphetamines,3.0,0.002804,0.0012718745180575338,,,,,,,
4970,Metropolitan Police,2020,Amphetamines,563.0,82.84507125,37.577936900690375,,,,,,,
4971,Hampshire,2020,Amphetamines,42.0,0.428752,0.19447886710634943,,,,,,,
4972,Kent1,2020,Amphetamines,93.0,,,,,,,,,
4973,Surrey,2020,Amphetamines,22.0,0.03807,0.017268282062214806,,,,,,,
4974,Sussex1,2020,Amphetamines,82.0,,,,,,,,,
4975,Thames Valley,2020,Amphetamines,0.0,0.0,0.0,,,,,,,
4976,Avon & Somerset,2020,Amphetamines,60.0,6.217987,2.820434814162985,,,,,,,
4977,Devon & Cornwall,2020,Amphetamines,143.0,8.688805,3.941180339468934,,,,,,,
4978,Dorset,2020,Amphetamines,38.0,0.202561,0.09188023332819262,,,,,,,
4979,Gloucestershire,2020,Amphetamines,22.0,0.694771,0.31514319928150886,,,,,,,
4980,Wiltshire,2020,Amphetamines,2.0,0.60784,0.2757119140713593,,,,,,,
4981,Dyfed-Powys,2020,Amphetamines,99.0,0.920165,0.4173803195108454,,,,,,,
4982,Gwent,2020,Amphetamines,52.0,4.232516,1.9198392466728964,,,,,,,
4983,North Wales,2020,Amphetamines,43.0,0.6033540000000001,0.273677096279631,,,,,,,
4984,South Wales,2020,Amphetamines,256.0,22.3237123,10.125877611561178,,,,,,,
4985,British Transport Police,2020,Amphetamines,29.0,0.11222366,0.05090385644691603,,,,,,,
4986,Total police,2020,Amphetamines,3307.0,439.06610768,199.1572732171531,,,,,,,
4987,"Border Force4,5,6,7",2020,Amphetamines,299.0,,,,,,,,,
4988,TOTAL ENGLAND AND WALES2,2020,Amphetamines,3606.0,,,,,,,,,
4989,,2020,Amphetamines,,,,,,,,,,
4990,Cleveland,2021,Amphetamines,157.0,18.38,8.337037675427059,,,,,,,
4991,Durham,2021,Amphetamines,55.0,1.83,0.8300750242672208,,,,,,,
4992,Northumbria,2021,Amphetamines,314.0,78.34,35.53446852518802,,,,,,,
4993,Cheshire,2021,Amphetamines,50.0,1.55,0.7030690096252417,,,,,,,
4994,Cumbria,2021,Amphetamines,59.0,0.43,0.19504495105732508,,,,,,,
4995,Greater Manchester7,2021,Amphetamines,90.0,,,,,,,,,
4996,Lancashire,2021,Amphetamines,105.0,15.63,7.08965717447905,,,,,,,
4997,Merseyside,2021,Amphetamines,48.0,82.99,37.64367555406374,,,,,,,
4998,Humberside,2021,Amphetamines,37.0,1.18,0.5352396331340549,,,,,,,
4999,North Yorkshire,2021,Amphetamines,23.0,0.61,0.27669167475574025,,,,,,,
5000,South Yorkshire,2021,Amphetamines,43.0,0.66,0.2993713202275222,,,,,,,
5001,West Yorkshire,2021,Amphetamines,124.0,0.14,0.06350300732098957,,,,,,,
5002,Derbyshire,2021,Amphetamines,78.0,3.77,1.710045268572362,,,,,,,
5003,Leicestershire10,2021,Amphetamines,42.0,,,,,,,,,
5004,Lincolnshire7,2021,Amphetamines,60.0,,,,,,,,,
5005,Northamptonshire,2021,Amphetamines,40.0,0.07,0.031751503660494784,,,,,,,
5006,Nottinghamshire,2021,Amphetamines,122.0,7.05,3.19783001152126,,,,,,,
5007,Staffordshire8,2021,Amphetamines,54.0,,,,,,,,,
5008,Warwickshire,2021,Amphetamines,15.0,0.2,0.09071858188712795,,,,,,,
5009,West Mercia,2021,Amphetamines,31.0,0.18,0.08164672369841515,,,,,,,
5010,West Midlands,2021,Amphetamines,32.0,0.13,0.05896707822663317,,,,,,,
5011,Bedfordshire,2021,Amphetamines,16.0,0.05,0.022679645471781987,,,,,,,
5012,Cambridgeshire,2021,Amphetamines,69.0,0.92,0.4173054766807886,,,,,,,
5013,Essex,2021,Amphetamines,86.0,10.92,4.953234571037186,,,,,,,
5014,"Hertfordshire7,8",2021,Amphetamines,47.0,,,,,,,,,
5015,Norfolk9,2021,Amphetamines,13.0,,,,,,,,,
5016,Suffolk9,2021,Amphetamines,16.0,,,,,,,,,
5017,"London, City of",2021,Amphetamines,1.0,0.0,0.0,,,,,,,
5018,Metropolitan Police10,2021,Amphetamines,633.0,,,,,,,,,
5019,Hampshire,2021,Amphetamines,70.0,12.76,5.787845524398763,,,,,,,
5020,"Kent7,8",2021,Amphetamines,101.0,,,,,,,,,
5021,Surrey,2021,Amphetamines,22.0,0.06,0.027215574566138382,,,,,,,
5022,"Sussex7,9",2021,Amphetamines,57.0,,,,,,,,,
5023,Thames Valley,2021,Amphetamines,,0.0,0.0,,,,,,,
5024,Avon & Somerset,2021,Amphetamines,63.0,2.17,0.9842966134753383,,,,,,,
5025,Devon & Cornwall,2021,Amphetamines,121.0,1.98,0.8981139606825667,,,,,,,
5026,Dorset,2021,Amphetamines,57.0,2.76,1.2519164300423655,,,,,,,
5027,Gloucestershire,2021,Amphetamines,29.0,0.16,0.07257486550970237,,,,,,,
5028,Wiltshire,2021,Amphetamines,35.0,0.52,0.23586831290653268,,,,,,,
5029,Dyfed-Powys,2021,Amphetamines,96.0,2.68,1.2156289972875145,,,,,,,
5030,Gwent,2021,Amphetamines,64.0,0.26,0.11793415645326634,,,,,,,
5031,North Wales,2021,Amphetamines,78.0,3.97,1.8007638504594898,,,,,,,
5032,South Wales10,2021,Amphetamines,253.0,,,,,,,,,
5033,British Transport Police,2021,Amphetamines,43.0,1.66,0.7529642296631619,,,,,,,
5034,Total police,2021,Amphetamines,3548.0,,,,,,,,,
5035,Border Force3-6,2021,Amphetamines,746.0,,,,,,,,,
5036,TOTAL ENGLAND AND WALES,2021,Amphetamines,4294.0,304.98,138.33676551968142,,,,,,,
5037,"8. In the year ending March 2021, Hertfordshire and Kent were unable to supply any drug seizures data.  Staffordshire's drug seizure data was incomplete, and hence although they supplied some data, we had to exclude it from the 2020/21 figures.  Imputation methods have been used to estimate the drug seizures figures for that year, for these police forces. ",2021,Amphetamines,,,,,,,,,,
5038,,2021,Amphetamines,,,,,,,,,,
5039,Cleveland,2022,Amphetamines,100.0,9.9,4.490569803412834,,,,,,,
5040,Durham,2022,Amphetamines,51.0,0.95,0.43091326396385776,,,,,,,
5041,Northumbria,2022,Amphetamines,182.0,3.59,1.6283985448739466,,,,,,,
5042,Cheshire,2022,Amphetamines,23.0,1.71,0.7756438751349439,,,,,,,
5043,Cumbria,2022,Amphetamines,57.0,8.23,3.7330696446553153,,,,,,,
5044,Greater Manchester,2022,Amphetamines,104.0,0.2,0.09071858188712795,,,,,,,
5045,Lancashire,2022,Amphetamines,84.0,6.9,3.1297910751059144,,,,,,,
5046,Merseyside,2022,Amphetamines,18.0,31.13,14.120347270731465,,,,,,,
5047,Humberside,2022,Amphetamines,31.0,2.8,1.2700601464197911,,,,,,,
5048,North Yorkshire,2022,Amphetamines,13.0,0.04,0.01814371637742559,,,,,,,
5049,South Yorkshire,2022,Amphetamines,27.0,0.11,0.04989522003792037,,,,,,,
5050,West Yorkshire,2022,Amphetamines,136.0,0.18,0.08164672369841515,,,,,,,
5051,Derbyshire,2022,Amphetamines,61.0,2.25,1.0205840462301894,,,,,,,
5052,Leicestershire,2022,Amphetamines,59.0,0.98,0.4445210512469269,,,,,,,
5053,Lincolnshire,2022,Amphetamines,47.0,0.03,0.013607787283069191,,,,,,,
5054,Northamptonshire,2022,Amphetamines,27.0,0.06,0.027215574566138382,,,,,,,
5055,Nottinghamshire,2022,Amphetamines,114.0,0.69,0.3129791075105914,,,,,,,
5056,Staffordshire,2022,Amphetamines,51.0,0.99,0.44905698034128333,,,,,,,
5057,Warwickshire,2022,Amphetamines,14.0,0.03,0.013607787283069191,,,,,,,
5058,West Mercia,2022,Amphetamines,21.0,0.06,0.027215574566138382,,,,,,,
5059,West Midlands,2022,Amphetamines,19.0,0.31,0.14061380192504833,,,,,,,
5060,Bedfordshire,2022,Amphetamines,7.0,0.05,0.022679645471781987,,,,,,,
5061,Cambridgeshire,2022,Amphetamines,72.0,1.92,0.8708983861164282,,,,,,,
5062,Essex,2022,Amphetamines,71.0,9.02,4.09140804310947,,,,,,,
5063,Hertfordshire,2022,Amphetamines,37.0,0.02,0.009071858188712796,,,,,,,
5064,Norfolk,2022,Amphetamines,5.0,0.0,0.0,,,,,,,
5065,Suffolk,2022,Amphetamines,15.0,0.08,0.03628743275485118,,,,,,,
5066,"London, City of",2022,Amphetamines,3.0,0.03,0.013607787283069191,,,,,,,
5067,Metropolitan Police,2022,Amphetamines,525.0,10.7,4.8534441309613445,,,,,,,
5068,Hampshire,2022,Amphetamines,40.0,1.39,0.6304941441155392,,,,,,,
5069,Kent,2022,Amphetamines,79.0,0.6,0.27215574566138384,,,,,,,
5070,Surrey,2022,Amphetamines,12.0,0.02,0.009071858188712796,,,,,,,
5071,Sussex,2022,Amphetamines,78.0,3.81,1.7281889849497873,,,,,,,
5072,Thames Valley,2022,Amphetamines,,0.0,0.0,,,,,,,
5073,Avon & Somerset,2022,Amphetamines,44.0,1.44,0.6531737895873212,,,,,,,
5074,Devon & Cornwall,2022,Amphetamines,101.0,18.71,8.48672333554082,,,,,,,
5075,Dorset,2022,Amphetamines,38.0,0.2,0.09071858188712795,,,,,,,
5076,Gloucestershire,2022,Amphetamines,25.0,3.62,1.642006332157016,,,,,,,
5077,Wiltshire,2022,Amphetamines,22.0,1.23,0.5579192786058369,,,,,,,
5078,Dyfed-Powys,2022,Amphetamines,68.0,0.6,0.27215574566138384,,,,,,,
5079,Gwent,2022,Amphetamines,63.0,0.51,0.23133238381217627,,,,,,,
5080,North Wales,2022,Amphetamines,51.0,8.83,4.005225390316699,,,,,,,
5081,South Wales,2022,Amphetamines,200.0,28.45,12.904718273443951,,,,,,,
5082,British Transport Police,2022,Amphetamines,46.0,0.78,0.35380246935979903,,,,,,,
5083,Police Total,2022,Amphetamines,2840.0,163.15,74.00368317442462,,,,,,,
5084,"Border Force [notes 7, 8]",2022,Amphetamines,403.0,80.01,36.29196868394554,,,,,,,
5085,TOTAL ENGLAND AND WALES,2022,Amphetamines,3243.0,243.16,110.29565185837016,,,,,,,
5086,Cleveland,2023,Amphetamines,83.0,6.86,3.1116473587284887,,,,,,,
5087,Durham,2023,Amphetamines,70.0,0.14,0.06350300732098957,,,,,,,
5088,Northumbria,2023,Amphetamines,169.0,6.76,3.0662880677849245,,,,,,,
5089,Cheshire,2023,Amphetamines,21.0,0.1,0.045359290943563974,,,,,,,
5090,Cumbria,2023,Amphetamines,28.0,2.36,1.0704792662681097,,,,,,,
5091,Greater Manchester,2023,Amphetamines,110.0,0.14,0.06350300732098957,,,,,,,
5092,Lancashire,2023,Amphetamines,74.0,18.01,8.169208298935873,,,,,,,
5093,Merseyside,2023,Amphetamines,3.0,0.34,0.15422158920811752,,,,,,,
5094,Humberside,2023,Amphetamines,9.0,1.33,0.6032785695494008,,,,,,,
5095,North Yorkshire,2023,Amphetamines,11.0,0.01,0.004535929094356398,,,,,,,
5096,South Yorkshire,2023,Amphetamines,17.0,0.09,0.040823361849207575,,,,,,,
5097,West Yorkshire,2023,Amphetamines,119.0,0.12,0.054431149132276764,,,,,,,
5098,Derbyshire,2023,Amphetamines,25.0,0.22,0.09979044007584074,,,,,,,
5099,Leicestershire,2023,Amphetamines,50.0,14.01,6.354836661193313,,,,,,,
5100,Lincolnshire,2023,Amphetamines,65.0,0.07,0.031751503660494784,,,,,,,
5101,Northamptonshire,2023,Amphetamines,30.0,0.14,0.06350300732098957,,,,,,,
5102,Nottinghamshire,2023,Amphetamines,101.0,0.4,0.1814371637742559,,,,,,,
5103,Staffordshire,2023,Amphetamines,40.0,1.73,0.7847157333236567,,,,,,,
5104,Warwickshire,2023,Amphetamines,9.0,3.47,1.57396739574167,,,,,,,
5105,West Mercia,2023,Amphetamines,26.0,4.26,1.9323057941958253,,,,,,,
5106,West Midlands,2023,Amphetamines,6.0,0.01,0.004535929094356398,,,,,,,
5107,Bedfordshire,2023,Amphetamines,3.0,0.0,0.0,,,,,,,
5108,Cambridgeshire,2023,Amphetamines,34.0,1.0,0.45359290943563974,,,,,,,
5109,Essex,2023,Amphetamines,35.0,12.19,5.529297566020448,,,,,,,
5110,Hertfordshire,2023,Amphetamines,4.0,0.09,0.040823361849207575,,,,,,,
5111,Norfolk,2023,Amphetamines,22.0,0.09,0.040823361849207575,,,,,,,
5112,Suffolk,2023,Amphetamines,16.0,0.04,0.01814371637742559,,,,,,,
5113,"London, City of",2023,Amphetamines,1.0,0.0,0.0,,,,,,,
5114,Metropolitan Police,2023,Amphetamines,379.0,185.07,83.94643974925384,,,,,,,
5115,Hampshire,2023,Amphetamines,55.0,2.04,0.9253295352487051,,,,,,,
5116,Kent,2023,Amphetamines,68.0,1.06,0.48080848400177817,,,,,,,
5117,Surrey,2023,Amphetamines,20.0,0.03,0.013607787283069191,,,,,,,
5118,Sussex,2023,Amphetamines,35.0,0.05,0.022679645471781987,,,,,,,
5119,Thames Valley,2023,Amphetamines,1.0,0.0,0.0,,,,,,,
5120,Avon & Somerset,2023,Amphetamines,45.0,3.4,1.542215892081175,,,,,,,
5121,Devon & Cornwall,2023,Amphetamines,76.0,0.78,0.35380246935979903,,,,,,,
5122,Dorset,2023,Amphetamines,26.0,2.01,0.9117217479656358,,,,,,,
5123,Gloucestershire,2023,Amphetamines,39.0,0.16,0.07257486550970237,,,,,,,
5124,Wiltshire,2023,Amphetamines,16.0,2.32,1.0523355498906841,,,,,,,
5125,Dyfed-Powys,2023,Amphetamines,50.0,0.57,0.2585479583783146,,,,,,,
5126,Gwent,2023,Amphetamines,69.0,9.05,4.10501583039254,,,,,,,
5127,North Wales,2023,Amphetamines,89.0,2.11,0.9570810389091998,,,,,,,
5128,South Wales,2023,Amphetamines,135.0,3.52,1.596647041213452,,,,,,,
5129,British Transport Police,2023,Amphetamines,33.0,0.12,0.054431149132276764,,,,,,,
5130,Police Total,2023,Amphetamines,2317.0,286.3,129.86364997142365,,,,,,,
5131,"Border Force [note 5, 9]",2023,Amphetamines,165.0,44.53,20.19849225716904,,,,,,,
5132,TOTAL ENGLAND AND WALES,2023,Amphetamines,2482.0,330.83,150.06214222859268,,,,,,,
5133,Cleveland,2024,Amphetamines,90.0,4.23,1.9186980069127564,,,,,,,
5134,Durham,2024,Amphetamines,55.0,0.06,0.027215574566138382,,,,,,,
5135,Northumbria,2024,Amphetamines,195.0,11.17,5.066632798396096,,,,,,,
5136,Cheshire,2024,Amphetamines,30.0,2.25,1.0205840462301894,,,,,,,
5137,Cumbria,2024,Amphetamines,35.0,31.44,14.260961072656514,,,,,,,
5138,Greater Manchester,2024,Amphetamines,94.0,1.12,0.5080240585679165,,,,,,,
5139,Lancashire,2024,Amphetamines,69.0,2.95,1.3380990828351373,,,,,,,
5140,Merseyside,2024,Amphetamines,84.0,0.21,0.09525451098148434,,,,,,,
5141,Humberside,2024,Amphetamines,9.0,11.78,5.343324473151836,,,,,,,
5142,North Yorkshire,2024,Amphetamines,18.0,0.19,0.08618265279277156,,,,,,,
5143,South Yorkshire,2024,Amphetamines,22.0,0.06,0.027215574566138382,,,,,,,
5144,West Yorkshire,2024,Amphetamines,80.0,0.08,0.03628743275485118,,,,,,,
5145,Derbyshire,2024,Amphetamines,77.0,1.92,0.8708983861164282,,,,,,,
5146,Leicestershire,2024,Amphetamines,54.0,1.99,0.9026498897769231,,,,,,,
5147,Lincolnshire,2024,Amphetamines,33.0,0.03,0.013607787283069191,,,,,,,
5148,Northamptonshire,2024,Amphetamines,26.0,0.11,0.04989522003792037,,,,,,,
5149,Nottinghamshire,2024,Amphetamines,67.0,0.63,0.28576353294445306,,,,,,,
5150,Staffordshire,2024,Amphetamines,39.0,0.43,0.19504495105732508,,,,,,,
5151,Warwickshire,2024,Amphetamines,4.0,0.52,0.23586831290653268,,,,,,,
5152,West Mercia,2024,Amphetamines,8.0,0.01,0.004535929094356398,,,,,,,
5153,West Midlands,2024,Amphetamines,2.0,0.0,0.0,,,,,,,
5154,Bedfordshire,2024,Amphetamines,2.0,0.0,0.0,,,,,,,
5155,Cambridgeshire,2024,Amphetamines,29.0,0.32,0.14514973101940473,,,,,,,
5156,Essex,2024,Amphetamines,44.0,4.26,1.9323057941958253,,,,,,,
5157,Hertfordshire,2024,Amphetamines,2.0,0.03,0.013607787283069191,,,,,,,
5158,Norfolk,2024,Amphetamines,22.0,0.48,0.21772459652910706,,,,,,,
5159,Suffolk,2024,Amphetamines,9.0,0.06,0.027215574566138382,,,,,,,
5160,"London, City of",2024,Amphetamines,5.0,0.0,0.0,,,,,,,
5161,Metropolitan Police,2024,Amphetamines,252.0,5.84,2.648982591104136,,,,,,,
5162,Hampshire,2024,Amphetamines,115.0,1.89,0.8572905988333591,,,,,,,
5163,Kent ,2024,Amphetamines,63.0,0.9,0.4082336184920758,,,,,,,
5164,Surrey,2024,Amphetamines,13.0,0.15,0.06803893641534596,,,,,,,
5165,Sussex,2024,Amphetamines,60.0,0.29,0.13154194373633551,,,,,,,
5166,Thames Valley,2024,Amphetamines,2.0,0.0,0.0,,,,,,,
5167,Avon & Somerset,2024,Amphetamines,41.0,0.65,0.29483539113316587,,,,,,,
5168,Devon & Cornwall,2024,Amphetamines,37.0,3.63,1.6465422612513723,,,,,,,
5169,Dorset,2024,Amphetamines,18.0,0.28,0.12700601464197914,,,,,,,
5170,Gloucestershire,2024,Amphetamines,31.0,0.15,0.06803893641534596,,,,,,,
5171,Wiltshire,2024,Amphetamines,21.0,0.44,0.1995808801516815,,,,,,,
5172,Dyfed-Powys,2024,Amphetamines,29.0,0.24,0.10886229826455353,,,,,,,
5173,Gwent,2024,Amphetamines,81.0,29.35,13.312951891936027,,,,,,,
5174,North Wales,2024,Amphetamines,49.0,1.91,0.8663624570220718,,,,,,,
5175,South Wales,2024,Amphetamines,115.0,119.09,54.01837958469034,,,,,,,
5176,British Transport Police,2024,Amphetamines,35.0,0.1,0.045359290943563974,,,,,,,
5177,Police Total,2024,Amphetamines,2166.0,241.26,109.43382533044245,,,,,,,
5178,"Border Force [note 5, 10]",2024,Amphetamines,171.0,43.43,19.699540056789832,,,,,,,
5179,TOTAL ENGLAND AND WALES,2024,Amphetamines,2337.0,284.69,129.1333653872323,,,,,,,
5180,Cleveland,2018,Barbiturates,0,,,,,,,,,
5181,Durham,2018,Barbiturates,0,,,,,,,,,
5182,Northumbria,2018,Barbiturates,0,,,,,,,,,
5183,Cheshire,2018,Barbiturates,0,,,,,,,,,
5184,Cumbria,2018,Barbiturates,0,,,,,,,,,
5185,Greater Manchester,2018,Barbiturates,0,,,,,,,,,
5186,Lancashire,2018,Barbiturates,0,,,,,,,,,
5187,Merseyside,2018,Barbiturates,0,,,,,,,,,
5188,Humberside,2018,Barbiturates,0,,,,,,,,,
5189,North Yorkshire,2018,Barbiturates,3,,,,,,,,,
5190,South Yorkshire,2018,Barbiturates,4,,,,,,,,,
5191,West Yorkshire,2018,Barbiturates,0,,,,,,,,,
5192,Derbyshire,2018,Barbiturates,0,,,,,,,,,
5193,Leicestershire,2018,Barbiturates,0,,,,,,,,,
5194,Lincolnshire 1,2018,Barbiturates,0,,,,,,,,,
5195,Northamptonshire,2018,Barbiturates,0,,,,,,,,,
5196,Nottinghamshire,2018,Barbiturates,0,,,,,,,,,
5197,Staffordshire,2018,Barbiturates,0,,,,,,,,,
5198,Warwickshire,2018,Barbiturates,0,,,,,,,,,
5199,West Mercia,2018,Barbiturates,0,,,,,,,,,
5200,West Midlands,2018,Barbiturates,1,,,,,,,,,
5201,Bedfordshire,2018,Barbiturates,0,,,,,,,,,
5202,Cambridgeshire,2018,Barbiturates,0,,,,,,,,,
5203,Essex,2018,Barbiturates,0,,,,,,,,,
5204,Hertfordshire 1,2018,Barbiturates,0,,,,,,,,,
5205,Norfolk,2018,Barbiturates,1,,,,,,,,,
5206,Suffolk,2018,Barbiturates,0,,,,,,,,,
5207,"London, City of",2018,Barbiturates,0,,,,,,,,,
5208,Metropolitan Police,2018,Barbiturates,1,,,,,,,,,
5209,Hampshire,2018,Barbiturates,0,,,,,,,,,
5210,Kent 1,2018,Barbiturates,0,,,,,,,,,
5211,Surrey,2018,Barbiturates,0,,,,,,,,,
5212,Sussex,2018,Barbiturates,5,,,,,,,,,
5213,Thames Valley,2018,Barbiturates,0,,,,,,,,,
5214,Avon & Somerset,2018,Barbiturates,0,,,,,,,,,
5215,Devon & Cornwall,2018,Barbiturates,0,,,,,,,,,
5216,Dorset,2018,Barbiturates,0,,,,,,,,,
5217,Gloucestershire,2018,Barbiturates,0,,,,,,,,,
5218,Wiltshire,2018,Barbiturates,0,,,,,,,,,
5219,Dyfed-Powys,2018,Barbiturates,0,,,,,,,,,
5220,Gwent,2018,Barbiturates,0,,,,,,,,,
5221,North Wales,2018,Barbiturates,0,,,,,,,,,
5222,South Wales,2018,Barbiturates,0,,,,,,,,,
5223,British Transport Police,2018,Barbiturates,0,,,,,,,,,
5224,Total police,2018,Barbiturates,15,,,,,,,,,
5225,"Border Force 4, 5, 6, 7",2018,Barbiturates,..,,,,,,,,,
5226,TOTAL ENGLAND AND WALES 2,2018,Barbiturates,15,,,,,,,,,
5227,,2019,Barbiturates,,,,,,,,,,
5228,Cleveland,2019,Barbiturates,0,0.0,0.0,,,,,,,
5229,Durham,2019,Barbiturates,0,0.0,0.0,,,,,,,
5230,Northumbria,2019,Barbiturates,0,0.0,0.0,,,,,,,
5231,Cheshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5232,Cumbria,2019,Barbiturates,0,0.0,0.0,,,,,,,
5233,Greater Manchester,2019,Barbiturates,0,0.0,0.0,,,,,,,
5234,Lancashire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5235,Merseyside,2019,Barbiturates,0,0.0,0.0,,,,,,,
5236,Humberside,2019,Barbiturates,0,0.0,0.0,,,,,,,
5237,North Yorkshire,2019,Barbiturates,3,0.003,0.0013607787283069193,,,,,,,
5238,South Yorkshire,2019,Barbiturates,4,0.149,0.06758534350591032,,,,,,,
5239,West Yorkshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5240,Derbyshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5241,Leicestershire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5242,Lincolnshire 1,2019,Barbiturates,0,,,,,,,,,
5243,Northamptonshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5244,Nottinghamshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5245,Staffordshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5246,Warwickshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5247,West Mercia,2019,Barbiturates,0,0.0,0.0,,,,,,,
5248,West Midlands,2019,Barbiturates,1,0.045,0.020411680924603787,,,,,,,
5249,Bedfordshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5250,Cambridgeshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5251,Essex,2019,Barbiturates,0,0.0,0.0,,,,,,,
5252,Hertfordshire 1,2019,Barbiturates,0,,,,,,,,,
5253,Norfolk,2019,Barbiturates,1,0.007,0.0031751503660494783,,,,,,,
5254,Suffolk,2019,Barbiturates,0,0.0,0.0,,,,,,,
5255,"London, City of",2019,Barbiturates,0,0.0,0.0,,,,,,,
5256,Metropolitan Police,2019,Barbiturates,1,0.001,0.00045359290943563975,,,,,,,
5257,Hampshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5258,Kent 1,2019,Barbiturates,0,,,,,,,,,
5259,Surrey,2019,Barbiturates,0,0.0,0.0,,,,,,,
5260,Sussex,2019,Barbiturates,5,0.538,0.2440329852763742,,,,,,,
5261,Thames Valley,2019,Barbiturates,0,0.0,0.0,,,,,,,
5262,Avon & Somerset,2019,Barbiturates,0,0.0,0.0,,,,,,,
5263,Devon & Cornwall,2019,Barbiturates,0,0.0,0.0,,,,,,,
5264,Dorset,2019,Barbiturates,0,0.0,0.0,,,,,,,
5265,Gloucestershire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5266,Wiltshire,2019,Barbiturates,0,0.0,0.0,,,,,,,
5267,Dyfed-Powys,2019,Barbiturates,0,0.0,0.0,,,,,,,
5268,Gwent,2019,Barbiturates,0,0.0,0.0,,,,,,,
5269,North Wales,2019,Barbiturates,0,0.0,0.0,,,,,,,
5270,South Wales,2019,Barbiturates,0,0.0,0.0,,,,,,,
5271,British Transport Police,2019,Barbiturates,0,0.0,0.0,,,,,,,
5272,Total police,2019,Barbiturates,15,0.7430000000000001,0.3370195317106804,,,,,,,
